Company Name,Symbol,Headline,Publish Date,Sentiment
Adani Enterprises Ltd.,ADANIENT,"Gautam Adani becomes Asia's richest man, beats Mukesh Ambani after SC's Hindenburg verdict",2024-01-06,Neutral
Adani Enterprises Ltd.,ADANIENT,"Koalas will be driven to extinction before 2050 in New South Wales, major inquiry finds - State parliamentary investigation finds biggest threat to the species’ survival is habitat loss – but logging and clearing has continued",2020-06-30,Neutral
Adani Enterprises Ltd.,ADANIENT,"Australia Thursday vowed to ""vehemently"" oppose a new push by Japan to undermine a global moratorium on commercial whaling, and urged like-minded nations to stand firm against Tokyo.",2018-08-02,Neutral
Adani Enterprises Ltd.,ADANIENT,"India: Opposition Leader Mahua Moitra Dragged, Forcibly Lifted By Delhi Cops As She Shouts ‘How Can You Do This To An MP?'",2023-10-03,Neutral
Adani Enterprises Ltd.,ADANIENT,Adanis to Hike Solar Panel Output by 150% to Cut China Reliance,2024-08-07,Neutral
Adani Enterprises Ltd.,ADANIENT,Indian Billionaire Mukesh Ambani Becomes Asia’s Richest Person Again Amid Putin’s War,2022-03-01,Neutral
Adani Enterprises Ltd.,ADANIENT,"Tourist operators on Great Barrier Reef shifting stance on climate change, with peak industry body opposing Adani's ""mega coal mine"", and acknowledging fossil fuel use has to be phased out. In unprecedented declaration...called on ""all our political leaders...to fight for the future of our reef"".",2018-07-08,Neutral
Adani Enterprises Ltd.,ADANIENT,BBC Documentary on Indian PM banned in India to be screened at the Australian Parliament House,2023-05-21,Neutral
Adani Enterprises Ltd.,ADANIENT,"'We will make this international': Adani protest to go global, says Bob Brown - Former Australian Greens leader Bob Brown is undeterred in his campaign to stop the Adani coal mine in central Queensland, warning “we will make this international” at a protest in Canberra.",2019-06-15,Neutral
Adani Enterprises Ltd.,ADANIENT,India Sends Newly Assembled MALE UAVs To Israel,2024-02-04,Neutral
Adani Enterprises Ltd.,ADANIENT,"Australia’s Great Barrier Reef will be in a “terminal condition” within five years, according to scientists. ""If something is not done in this election cycle then we may not see good coral again within our children’s lifetime.”",2016-05-20,Positive
Adani Enterprises Ltd.,ADANIENT,An Australian court on Friday delivered a landmark ruling by rejecting plans to build a coal mine on the grounds it would worsen climate change,2019-02-08,Negative
Adani Enterprises Ltd.,ADANIENT,'Anyone considering business deals with Iran...': US warns of sanctions after India-Iran Chabahar Port deal | India News - Times of India,2024-05-14,Neutral
Adani Enterprises Ltd.,ADANIENT,"Over 40 later banned sockpuppets created or revised nine related articles on the Adani family and businesses, says Wikipedia",2023-02-21,Negative
Adani Enterprises Ltd.,ADANIENT,Fraud claims against Adani group spark political row in India,2023-02-03,Positive
Adani Enterprises Ltd.,ADANIENT,Indian billionaire Gautam Adani is now the world's third richest man,2022-08-30,Positive
Adani Enterprises Ltd.,ADANIENT,Rich list: Adani's downfall continues as Zuckerberg has best day in ten years,2023-02-05,Neutral
Adani Enterprises Ltd.,ADANIENT,About 36 Indian police hurt in clashes with Adani port protesters,2022-11-28,Positive
Adani Enterprises Ltd.,ADANIENT,Extinction Rebellion activists occupy four Australian cities protesting Adani coal mine,2019-06-22,Neutral
Adani Enterprises Ltd.,ADANIENT,Adani: India watchdog probing Hindenburg fraud allegations,2023-02-14,Neutral
Adani Enterprises Ltd.,ADANIENT,Adani Group: Asia's richest man hits back at 'con' allegations,2023-01-26,Neutral
Adani Enterprises Ltd.,ADANIENT,Israel Prime Minister Netanyahu hands over prestigious Haifa Port to India's Adani Group,2023-01-31,Negative
Adani Enterprises Ltd.,ADANIENT,Indian billionaire Gautam Adani overtakes Jeff Bezos to become the world's second richest person,2022-09-16,Positive
Adani Enterprises Ltd.,ADANIENT,Adani Group stocks lose up to 10% after Hindenburg reveals short positions,2023-01-25,Positive
Adani Enterprises Ltd.,ADANIENT,Indian billionaire Adani seeks to control NDTV; media group says move without consent,2022-08-23,Negative
Adani Enterprises Ltd.,ADANIENT,India's troubled Adani invests in bankrupt Sri Lanka,2023-02-23,Negative
Adani Enterprises Ltd.,ADANIENT,Coal stocks fall over concerns that a U.S. departure from the Paris agreement could unleash a global backlash against coal interests outside the US,2017-05-31,Neutral
Adani Enterprises Ltd.,ADANIENT,"Gautam Adani is now world's 5th richest person, passes Warren Buffet - Times of India",2022-04-25,Negative
Adani Enterprises Ltd.,ADANIENT,"Adani in Crisis as Bonds Hit Distressed Levels, Stock Sale Axed | Adani companies have seen $92 billion erased from market value",2023-02-02,Neutral
Adani Enterprises Ltd.,ADANIENT,Indian billionaire Gautam Adani is now the world's third richest man,2022-08-31,Neutral
Adani Enterprises Ltd.,ADANIENT,Asia's richest no more? Gautam Adani's wealth crashes as $90 billion wiped off his business,2023-02-02,Neutral
Adani Enterprises Ltd.,ADANIENT,Indian billionaire Adani's firm wins bid to develop vast Mumbai slum | CNN Business,2022-11-30,Neutral
Adani Enterprises Ltd.,ADANIENT,Adani crisis sparks protests and arrests in India as sell-off losses top $110 billion,2023-02-06,Positive
Adani Enterprises Ltd.,ADANIENT,US commits $553 mln financing for Adani terminal venture at Colombo port,2023-11-08,Neutral
Adani Enterprises Ltd.,ADANIENT,Adani claims US investment firm’s fraud allegations are an ‘attack on India’ | Adani Group,2023-01-30,Negative
Adani Enterprises Ltd.,ADANIENT,"Thousands of Australians have marched in streets in Brisbane, Sydney, Melbourne and Cairns, calling or politicians to stop the Adani coal mining project in Queensland.",2018-12-08,Neutral
Adani Enterprises Ltd.,ADANIENT,"Saudi Arabia's NEOM reveals new trademarks Treyam, Aquellum and Jaumur, and partnerships with Bosch and Bain & Co.",2023-11-29,Neutral
Adani Enterprises Ltd.,ADANIENT,"Lloyd's market to quit fossil fuel insurance by 2030. World’s biggest insurance market to end new investments in coal, oil sands and Arctic energy by 2022",2020-12-17,Negative
Adani Enterprises Ltd.,ADANIENT,Adani row rocks India's parliament amid financial contagion fears,2023-02-03,Positive
Adani Enterprises Ltd.,ADANIENT,African countries offer India lithium access to repay loans,2022-08-27,Neutral
Adani Enterprises Ltd.,ADANIENT,Adani: Kenya cancels power transmission deal with Adani following US bribery charges,2024-11-21,Positive
Adani Enterprises Ltd.,ADANIENT,Adani Group to sell stake in Adani Wilmar for $2 billion,2024-12-30,Positive
Adani Enterprises Ltd.,ADANIENT,India's Adani Group seeks to settle regulatory charge of shareholding violations ET reports,2024-12-03,Positive
Adani Enterprises Ltd.,ADANIENT,India's parliament suspended after disruptions over Adani allegations other issues,2024-12-02,Neutral
Adani Enterprises Ltd.,ADANIENT,Adani Group CFO rejects bribery allegations India says no US request yet on case,2024-11-29,Positive
Adani Enterprises Ltd.,ADANIENT,Adani wipeout hurts but won't derail foreign investor faith in India,2024-11-28,Neutral
Adani Enterprises Ltd.,ADANIENT,Airports to cooking oil the many businesses of India's Gautam Adani,2024-11-28,Neutral
Adani Enterprises Ltd.,ADANIENT,India's parliament suspended temporarily after row over allegations against Adani group,2024-11-28,Neutral
Adani Enterprises Ltd.,ADANIENT,India stocks higher at close of trade Nifty 50 up 0.35%,2024-11-27,Positive
Adani Enterprises Ltd.,ADANIENT,Modi's party distances itself from India's Adani amid opposition protests,2024-11-26,Positive
Adani Enterprises Ltd.,ADANIENT,Fitch places some Adani bonds on negative watch after US bribery charges,2024-11-25,Positive
Adani Enterprises Ltd.,ADANIENT,Adani shares rise CFO says publicly listed firms not subject to US indictment,2024-11-24,Neutral
Adani Enterprises Ltd.,ADANIENT,Adani Energy Solutions says no material impact from Kenya energy deal cancellation,2024-11-23,Neutral
Adani Enterprises Ltd.,ADANIENT,Adani Group could find funding harder after US indictment as banks review credit,2024-11-23,Neutral
Adani Enterprises Ltd.,ADANIENT,Indian opposition parties deny any wrongdoing linked to Adani bribery allegations,2024-11-22,Negative
Adani Enterprises Ltd.,ADANIENT,Global banks weigh halting fresh credit to India's Adani after US indictment say sources,2024-11-22,Negative
Adani Enterprises Ltd.,ADANIENT,What you need to know about Adani's US bribery indictment,2024-11-22,Negative
Adani Enterprises Ltd.,ADANIENT,Adani's Australian coal unit faces human rights complaint,2024-11-22,Negative
Adani Enterprises Ltd.,ADANIENT,Morning Bid Bitcoin watch party rages on as PMIs loom,2024-11-22,Negative
Adani Enterprises Ltd.,ADANIENT,Adani Group firms' shares fall for second session after US indictments,2024-11-21,Positive
Adani Enterprises Ltd.,ADANIENT,Asia stocks rise as chips cyclical gains help offset Ukraine war jitters,2024-11-21,Positive
Adani Enterprises Ltd.,ADANIENT,Kenya drops over $2.5 billion of Adani deals after US indictment,2024-11-21,Positive
Adani Enterprises Ltd.,ADANIENT,Kenya halts Adani airport deal and energy project,2024-11-21,Positive
Adani Enterprises Ltd.,ADANIENT,US indictments scythe $27 billion off value of India's Adani Group firms,2024-11-21,Positive
Adani Enterprises Ltd.,ADANIENT,Billionaire Gautam Adani charged by the United States in $250m fraud scheme.,2024-11-21,Positive
Adani Enterprises Ltd.,ADANIENT,Campaigners criticise 'reckless' approval of Adani mine in Australia - “The Australian government has just facilitated opening up a new coal basin at the same time scientists are telling us we need to stop digging up coal and burning it because it’s fuelling global warming”,2019-06-14,Neutral
Adani Enterprises Ltd.,ADANIENT,Adani Ports to be removed from S&P index due to business links with Myanmar military,2021-04-13,Positive
Adani Enterprises Ltd.,ADANIENT,Himachal Pradesh: Thousands despair as India Adani plants shut down,2023-01-08,Neutral
Adani Enterprises Ltd.,ADANIENT,"Australia’s New Envoy for the Great Barrier Reef Says it Doesn’t Need Saving: Warren Entsch, an advocate for the Adani-Carmichael coalmine, is of the opinion that ""we don't need to save the reef.""",2019-05-30,Positive
Adani Enterprises Ltd.,ADANIENT,"Adani proposed coal ventures to sanctioned Myanmar military despite public vow to cut ties, leaked documents show",2023-05-04,Negative
Adani Enterprises Ltd.,ADANIENT,Indian magnate Gautam Adani charged in US over massive bribery scheme,2024-11-21,Positive
Adani Enterprises Ltd.,ADANIENT,Adani firms lose $65 billion in value as U.S. short-seller battle escalates,2023-01-30,Negative
Adani Enterprises Ltd.,ADANIENT,"U.S. SEC summons Gautam Adani, nephew Sagar in bribery case",2024-11-24,Neutral
Adani Enterprises Ltd.,ADANIENT,"Indian billionaire Gautam Adani's business empire at risk amid U.S. indictment for fraud, bribery",2024-11-24,Neutral
Adani Enterprises Ltd.,ADANIENT,Indian billionaire Gautam Adani is now world's second richest | Mint,2022-09-16,Positive
Adani Enterprises Ltd.,ADANIENT,Queensland police refuse to remove traditional owners occupying Adani’s coalmine site,2021-10-02,Neutral
Adani Enterprises Ltd.,ADANIENT,"Billionaire Gautam Adani of India's Adani Group charged in US with bribery, fraud",2024-11-22,Negative
Adani Enterprises Ltd.,ADANIENT,Australia dubbed 'fossil of the day' after lobbying for coal mine at climate talks - Energy minister Josh Frydenberg raises concern with American counterpart over US activists seeking to stop Adani’s giant Carmichael coalmine,2016-11-17,Negative
Adani Enterprises Ltd.,ADANIENT,Adani Power has $800 million in unpaid dues from Bangladesh,2024-08-24,Neutral
Adani Enterprises Ltd.,ADANIENT,Australia transfers land ownership from Indigenous groups to Adani to build coalmine,2019-08-31,Neutral
Adani Enterprises Ltd.,ADANIENT,Indian Billionaire Adani Charged in US With Bribery; Adani Group Shares Tumble,2024-11-21,Positive
Adani Enterprises Ltd.,ADANIENT,"Queenslanders overwhelmingly want the state government to cancel the Adani mining company’s 60-year unlimited water extraction licence amid growing concern about the severity of the drought. As of last week, 58% of Queensland was drought declared.",2018-09-23,Neutral
Adani Enterprises Ltd.,ADANIENT,Work halted on Adani's coal mine project in Australia : Guardian,2015-06-24,Neutral
Adani Enterprises Ltd.,ADANIENT,Adani facing growing pressure on fears investors may have been misled,2017-03-22,Positive
Adani Enterprises Ltd.,ADANIENT,"Loan to Adani by infrastructure fund could be unlawful, says former clean energy head | Environment",2017-07-07,Negative
Adani Enterprises Ltd.,ADANIENT,Adani mining giant faces financial fraud claims as it bids for Australian coal loan,2017-08-21,Positive
Adani Enterprises Ltd.,ADANIENT,Adani denies engaging with Myanmar’s military leaders over port deal but video suggests otherwise,2021-03-30,Positive
Adani Enterprises Ltd.,ADANIENT,Germans Protest Against Siemens' Participation in Australian Adani Mine,2020-01-11,Neutral
Adani Enterprises Ltd.,ADANIENT,"India's Adani Ports, Israel's Gadot win tender to buy Haifa port -Israel's FinMin",2022-07-14,Neutral
Adani Enterprises Ltd.,ADANIENT,World's biggest coal company closes 37 mines as solar power's influence grows,2017-06-23,Positive
Adani Enterprises Ltd.,ADANIENT,Private investigator hired by Adani secretly photographed activist's daughter on way to school,2020-10-29,Neutral
Adani Enterprises Ltd.,ADANIENT,Adani scraps $2.5 billion share sale as value of his empire collapses,2023-02-02,Neutral
Adani Enterprises Ltd.,ADANIENT,Nvidia's results Adani's legal woes Starbucks - what's moving markets,2024-11-21,Positive
Adani Enterprises Ltd.,ADANIENT,Adani Group’s debt to go up to Rs 2.6 trillion,2022-09-03,Neutral
Adani Enterprises Ltd.,ADANIENT,Adani Ports to be removed from S&P index due to business links with Myanmar military,2021-04-14,Neutral
Adani Enterprises Ltd.,ADANIENT,Adani halts engineering work on world's largest coal mine,2015-06-23,Negative
Adani Enterprises Ltd.,ADANIENT,Gautam Adani unveils world's largest solar power plant in Tamil Nadu,2016-09-23,Neutral
Adani Enterprises Ltd.,ADANIENT,"New conditions for Adani's Carmichael coal mine weaker than first - ""Under this second approval Adani has the power to change their plans without approval from the minister""",2015-10-20,Neutral
Adani Enterprises Ltd.,ADANIENT,"The Federal Government has given mining giant Adani re-approval to build the massive Carmichael coal mine, subject to ""36 of the strictest conditions in Australian history"".",2015-10-15,Negative
Adani Enterprises Ltd.,ADANIENT,"State Bank of India to turn down Adani's $1 billion Australian loan request, putting world's largest coal mine in doubt",2015-03-14,Neutral
Adani Enterprises Ltd.,ADANIENT,"Greg Hunt: no definite link between coal from Adani mine & climate change - Australia’s environment minister denies he failed to consider impact of a coal mine on the Great Barrier Reef, court documents show",2016-05-06,Negative
Adani Enterprises Ltd.,ADANIENT,Adani threatens to sue activist group if supporters infiltrate coal project,2017-02-14,Positive
Adani Enterprises Ltd.,ADANIENT,Crackdown on 'vigilante' activists: Abbott government to change environment laws after Adani decision,2015-08-18,Negative
Adani Enterprises Ltd.,ADANIENT,Adani ( India's largest private coal mining company )'s Australian coal mine project inches closer to getting lease,2016-02-26,Positive
Adani Enterprises Ltd.,ADANIENT,Modi and Adani: the old friends laying waste to India's environment,2017-07-01,Neutral
Adani Enterprises Ltd.,ADANIENT,India may provide $1 billion loan for Adani Australia coal mine,2014-11-17,Negative
Adani Enterprises Ltd.,ADANIENT,Indian fishermen warn Australia against environmental impact ahead of Adani coal mine talks,2017-03-16,Neutral
Adani Enterprises Ltd.,ADANIENT,"India's Adani Group has secured land to build two solar farms in Australia, together worth A$400 million ($300 million) as part of a five-year drive to construct 1,500 megawatts of solar energy plants in the country.",2016-11-25,Positive
Adani Enterprises Ltd.,ADANIENT,Australian court dismisses bid to stop Adani coalmine on environmental grounds,2017-08-25,Neutral
Adani Enterprises Ltd.,ADANIENT,Web of Australian Adani solar companies leads to offshore tax havens,2017-10-18,Positive
Adani Enterprises Ltd.,ADANIENT,Australian Senate calls on the Coalition government to rule out financing Adani's Carmichael coalmine,2016-09-04,Neutral
Adani Enterprises Ltd.,ADANIENT,Embattled Indian miner Adani's plans for a massive coal project in Australia near the Great Barrier Reef has been dealt another blow after the government confirmed Sunday it would not fund a rail link to the facility,2018-02-04,Neutral
Adani Enterprises Ltd.,ADANIENT,"In big boost to Modi's power push, Adani sets up world's largest solar plant in India",2017-01-26,Neutral
Adani Enterprises Ltd.,ADANIENT,Australia's Federal Court has dismissed the Australian Conservation Foundation's case against the $21B Adani Carmichael coal mine,2016-08-29,Neutral
Adani Enterprises Ltd.,ADANIENT,Adani facing growing pressure on fears investors may have been misled,2017-03-22,Positive
Adani Enterprises Ltd.,ADANIENT,Poll of Malcolm Turnbull's electorate finds 75% back review of Adani approval,2018-03-11,Neutral
Adani Enterprises Ltd.,ADANIENT,"Adani to spend $300 million on two solar plants in Australia (said it would build a 100-200 MW solar farm in Moranbah in the east of Australia, one of the towns worst hit by the global slump in coal mining over the past four years. )",2016-11-26,Neutral
Adani Enterprises Ltd.,ADANIENT,Indian opposition calls for investigation into Adani over financial fraud allegations,2017-08-20,Neutral
Adani Enterprises Ltd.,ADANIENT,"Adani to submit 3rd plan for dredging Great Barrier Reef - Mining minister to announce Abbot Point environmental impact statement done, putting Adani closer to submitting plan to Greg Hunt. “Just seems to be govts interested in this project,” Greenpeace reef campaigner Shani Tager says.",2015-08-19,Negative
Adani Enterprises Ltd.,ADANIENT,Adani builds coal-fired plant in India to send energy to Bangladesh,2018-04-26,Negative
Adani Enterprises Ltd.,ADANIENT,India’s Adani Identifies 650 MW Of Australian Large-Scale Solar Projects,2016-05-28,Neutral
Adani Enterprises Ltd.,ADANIENT,GetUp! fears 'dirty tricks' after YouTube pulls video. GetUp! says this video about energy group Adani was taken down by YouTube after a bogus copyright claim.,2014-07-28,Neutral
Adani Enterprises Ltd.,ADANIENT,"'Like nothing we've seen': Queensland bushfires tear through Australian rainforest | Fires that swept though subtropical rainforest around the historic Binna Burra lodge are unprecedented, experts say",2019-09-09,Neutral
Adani Enterprises Ltd.,ADANIENT,"No more coal power as India shifts to sun, wind - No new coal-based power plants will be allowed by the Centre, apart from the ones already under construction. 1,75,000 MW of renewable energy can be integrated into the grid by 2022.",2017-09-05,Neutral
Adani Enterprises Ltd.,ADANIENT,Attention United Nations: don't be fooled by Australia's latest report on the Great Barrier Reef,2019-12-19,Negative
Adani Enterprises Ltd.,ADANIENT,"The battle over plans for a gargantuan coal mine in central Australia turned violent Sunday, when a man on a horse rode into a crowd of protesters, knocking a woman unconscious before speeding away while yelling “woo-hoo” and waving his hat",2019-05-01,Neutral
Adani Enterprises Ltd.,ADANIENT,The Australian cotton industry says it is not to blame for the mass deaths of hundreds of thousands of fish in the Darling River and is tired of being a “whipping boy” for problems associated with the drought.,2019-01-10,Negative
Adani Enterprises Ltd.,ADANIENT,"Australia is devastated by drought, yet it won't budge on climate change",2018-08-22,Neutral
Adani Enterprises Ltd.,ADANIENT,India’s coal power usage set to shrink for first time in 14 years,2019-12-11,Neutral
Adani Enterprises Ltd.,ADANIENT,Australian Prime Minister Turnbull labels opponents of coal-powered electricity as 'delusional',2017-07-15,Neutral
Adani Enterprises Ltd.,ADANIENT,"Australian PM to visit India, likely to ink deal in rare earth mineral sector",2023-03-07,Neutral
Adani Enterprises Ltd.,ADANIENT,India reported highest FDI inflow worth $83 billion in 2021-2022: Centre | Latest News India - Hindustan Times,2022-05-20,Neutral
Adani Enterprises Ltd.,ADANIENT,30 mins of ‘national interest’ content daily made mandatory for TV channels,2023-02-01,Positive
Adani Enterprises Ltd.,ADANIENT,An Indian tycoon just ousted Jeff Bezos as world's second-richest person | CNN Business,2022-09-16,Positive
Adani Enterprises Ltd.,ADANIENT,"Delhi Police seize laptops, mobile of journalists",2023-10-03,Neutral
Adani Enterprises Ltd.,ADANIENT,India ready to help Bangladesh with its defence modernisation efforts: Envoy,2023-03-07,Neutral
Adani Enterprises Ltd.,ADANIENT,India Has Shut Down 37 of the World's Biggest Coal Company's Mines: The largest coal company in the world has announced that it will be shutting down 37 of its sites. The move is fueled by the increasing affordability of solar power,2017-06-27,Neutral
Adani Enterprises Ltd.,ADANIENT,India counters China in Sri Lanka with $700 million port deal,2021-10-03,Neutral
Adani Enterprises Ltd.,ADANIENT,"India plans new airport for both military, civilian aircraft operations in Lakshadweep's Minicoy",2024-01-10,Neutral
Adani Enterprises Ltd.,ADANIENT,"The World Heritage Committee was set to consider Friday whether to add the Great Barrier Reef to UNESCO's list of endangered sites, after high-level lobbying from Australia to prevent the move",2021-07-23,Neutral
Adani Enterprises Ltd.,ADANIENT,Australian students defy calls to stay in school to protest climate change,2019-03-15,Negative
Adani Enterprises Ltd.,ADANIENT,"Adani Group plans to build Rs 12,500 crore power plant in Odisha",2014-08-26,Neutral
Adani Enterprises Ltd.,ADANIENT,Australian Federal court asked to overturn Adani mine approval due to impact on Great Barrier Reef,2015-01-15,Positive
Adani Enterprises Ltd.,ADANIENT,Robyn Lawley’s naked protest against Adani Group’s Carmichael Coal Mine approval. About three million cubic metres of material will be dredged from the seabed so freighters can dock.,2014-07-29,Neutral
Adani Enterprises Ltd.,ADANIENT,"Adani to set up India's largest solar park of 10,000 MW in Rajasthan",2015-06-16,Neutral
Adani Enterprises Ltd.,ADANIENT,Australia on the spot over Adani mine and funding of Attenborough reef series,2015-12-09,Negative
Adani Enterprises Ltd.,ADANIENT,Gautam Adani no longer Asia's richest person as stock rout deepens to $74 billion,2023-02-01,Positive
Adani Enterprises Ltd.,ADANIENT,Adani coal mine project: Queensland Government approves rail line and camp as protesters rally in Melbourne,2016-12-05,Neutral
Adani Enterprises Ltd.,ADANIENT,Labor weighs Adani options as Canavan says Australia needs to 'get these jobs going',2018-02-05,Neutral
Adani Enterprises Ltd.,ADANIENT,"Farmers’ protest: Protestors damage over 1,500 telecom towers in Punjab - farmers vented their anger on the infrastructure owned by billionaire Mukesh Ambani’s firm Jio as they saw him along with infrastructure tycoon Gautam Adani as major beneficiaries of the new laws",2020-12-30,Positive
Adani Enterprises Ltd.,ADANIENT,Private investigator hired by Adani secretly photographed activist's daughter on way to school | Business,2020-10-28,Positive
Adani Enterprises Ltd.,ADANIENT,Australian Conservation Foundation loses landmark Federal Court case against Adani coal to save the Great Barrier Reef,2016-09-01,Positive
Adani Enterprises Ltd.,ADANIENT,'Tragic for the wider world': Tony Abbott decries court ruling against Adani coal mine,2015-08-07,Positive
Adani Enterprises Ltd.,ADANIENT,"Indian billionaire Gautam Adani rejected criticism over the environmental impact of a huge coal mine planned by his company in Australia, saying renewables can't meet all his country's energy needs",2019-07-09,Positive
Adani Enterprises Ltd.,ADANIENT,"India: Adani Ports to shun cargo from Afghanistan, Pakistan, Iran",2021-10-12,Positive
Adani Enterprises Ltd.,ADANIENT,Adani gives final approval for $4 billion Australia coal mine project,2017-06-06,Negative
Adani Enterprises Ltd.,ADANIENT,Aboriginal traditional owners say they are being punished for opposing Adani coalmine | Australia news,2019-11-28,Negative
Adani Enterprises Ltd.,ADANIENT,"Adani protest: French journalists arrested while filming anti-coal activities: 4 journalists working for the public television network France 2 have been charged with trespassing for filming a protest near the Abbot Point coal terminal, in North Queensland targeting the operations of the Adani group",2019-07-22,Negative
Adani Enterprises Ltd.,ADANIENT,Australia approves controversial Adani coal mine,2019-06-13,Negative
Adani Enterprises Ltd.,ADANIENT,New York stock exchange removes India's Adani Ports from index due to links with Myanmar military,2021-04-13,Positive
Adani Enterprises Ltd.,ADANIENT,Gautam Adani commits USD 70 bn to clean energy in meeting with UK PM,2021-10-20,Negative
Adani Enterprises Ltd.,ADANIENT,Adani blasted over ‘toxic’ $4bn plan to use Australian coal to make plastic in India,2021-06-18,Neutral
Adani Enterprises Ltd.,ADANIENT,"Mining Giant Adani Pollutes The Great Barrier Reef, Fights $12,000 Fine",2017-08-15,Neutral
Adani Enterprises Ltd.,ADANIENT,"Haifa port acquisition by Adani a ""strategic purchase"" where ""price didn't matter"": Israeli media",2022-07-19,Positive
Adani Enterprises Ltd.,ADANIENT,"""This Would Not Work For India"": Gautam Adani Mirrors PM Modi Comments",2022-09-27,Negative
Adani Enterprises Ltd.,ADANIENT,"A group of Australia's pre-eminent water scientists say a rare desert oasis may dry up under Adani's ""flawed"" protections for groundwater near its proposed Carmichael mine, in a scathing assessment days out from a crucial ruling on the plan.",2019-06-09,Neutral
Adani Enterprises Ltd.,ADANIENT,"Adani coalmine: Siemens CEO has ‘empathy’ for environment but refuses to quit contract - Global engineering company Siemens will not pull out of a contract at the new Adani coalmine in Australia, rejecting calls from climate campaigners including Greta Thunberg.",2020-01-13,Positive
Adani Enterprises Ltd.,ADANIENT,"Adani Group 'deeply overleveraged', may spiral into debt trap, default: Report. The aggressive expansion pursued by the Adani Group, led by Asia’s richest person, has put pressure on its credit metrics and cash flow, CreditSights said in the report",2022-08-30,Positive
Adani Enterprises Ltd.,ADANIENT,Indian tycoon Adani's mega port hangs in the balance as a fishing community protests,2022-11-23,Neutral
Adani Enterprises Ltd.,ADANIENT,"India's Adani Ports, Israel's Gadot win tender to buy Haifa port -Israel's FinMin | Reuters",2022-07-14,Neutral
Adani Enterprises Ltd.,ADANIENT,Indian billionaire Adani seeks hostile takeover of media group NDTV,2022-08-24,Positive
Adani Enterprises Ltd.,ADANIENT,'Irreversible consequences': Adani coalmine granted unlimited water access for 60 years,2017-04-05,Positive
Adani Enterprises Ltd.,ADANIENT,"Adani mine would be 'unviable' without $4.4bn in subsidies, report finds",2019-08-29,Negative
Adani Enterprises Ltd.,ADANIENT,Adani mining giant faces financial fraud claims as it bids for Australian coal loan,2017-08-19,Neutral
Adani Enterprises Ltd.,ADANIENT,The Adani Group denies engaging with Myanmar’s military leadership over port deal but video suggests otherwise,2021-03-30,Positive
Adani Enterprises Ltd.,ADANIENT,"Controversial Australian coal mine owned by Adani, gets final environmental approval for Carmichael mine",2019-06-13,Negative
Adani Enterprises Ltd.,ADANIENT,Approval for world's biggest coalmine overturned by Australian federal court,2015-08-05,Negative
Adani Enterprises Ltd.,ADANIENT,"Australia approval of vast coal mine 'evil' says marine scientist | Greens, scientists brand leases for $22bn Adani mine irresponsible in face of whitening Great Barrier Reef",2016-04-04,Positive
Adani Enterprises Ltd.,ADANIENT,Matthew Canavan says there is 'uncertainty' around cause of climate change - New resources minister describes Adani Carmichael coalmine as ‘incredibly exciting’ for Australia,2016-07-19,Negative
Adani Enterprises Ltd.,ADANIENT,Australia: Labor victory a ‘death knell for Adani’ coal mine,2017-11-30,Neutral
